doc_id,participants_pred,interventions_pred,outcomes_pred
18189160,,FEC; FEC (75); epirubicin to adjuvant chemotherapy; fluorouracil/epirubicin/cyclophosphamide (FEC); growth factor support for adjuvant therapy; standard chemotherapy,
18229990,,joint attention (JA) and symbolic play (SP),
18337284,,amoxicillin; penicillin V,
18503531,,,
18544974,,LGG alone; LGG plus 2 g of GOS,
18773733,,,
18783504,,bupropion SR; bupropion SR treatment; eight brief individual counseling sessions or no counseling; motivational processes; placebo pill,
18845996,,"PLD; chemotherapy; doxorubicin; doxorubicin (DOX) or a pegylated liposomal formulation (PLD); pegylated liposomal doxorubicin; targeting preventative therapies (eg, granulocyte colony stimulating factor",
18958161,,,
18975051,,contrast agents; intracranial three-dimensional CT angiography; iopamidol 300; iopamidol 370; multidetector-row CT scanner,
19096921,,off medication; parent training; risperidone; risperidone plus structured parent training,
19108790,,"conventional antiemetics droperidol and metoclopramide; droperidol; metoclopramide; metoclopramide 0.2 mg/kg and placebo; placebo; placebo (isotonic saline; placebo-controlled; propofol; propofol 0.5 mg/kg and droperidol; propofol 0.5 mg/kg, droperidol 20 microg/kg, metoclopramide; standard general anesthetic technique, including sevoflurane and air in oxygen",
19159999,,Ginkgo biloba extract; Ginkgo biloba extract as treatment; nifedipine; nifedipine SR; nifedipine sustained release (nifedipine SR),
19301724,,0.125% levobupivacaine; Postoperative epidural analgesia (EA) and femoral nerve block (FNB); continuous epidural infusion (CEI) with continuous femoral nerve block; continuous infusion of 0.125% levobupivacaine; morphine,
19376304,,Dabigatran etexilate; Vitamin K antagonists (VKAs); warfarin,
1968178,,,
19708562,,lactoferrin (LF); traditional treatment; transcranial electrotherapy,
19727232,,auditory integrative training; auditory integrative training (AIT),
19802506,,Strength/weight training exercises; calcium; exercise; exercise plus medication; risedronate; strength/weight training (ST) exercises; vitamin D; weight training exercises enhanced,
20147856,,gemcitabine; gemcitabine and S-1; gemcitabine combined with S-1; oral S-1; oral S-1 (60 mg/m/d,
20189026,,,
20226474,,Cryobiopsy,
20509069,,VRH analgesia,
20560622,,Maillard reaction products (MRP),
20618920,,"antidepressant treatment; hygienic-dietary recommendations about exercise, diet",
2066441,,tetracycline-immobilized collagen film and root planing,
20739054,,Eltrombopag; FUNDING GlaxoSmithKline; local standard of care plus 50 mg eltrombopag or matching placebo; oral thrombopoietin receptor agonist; placebo; placebo-controlled,
20804366,,acupuncture; control group (sham tongue acupuncture; sham acupuncture; tongue acupuncture,
2088233,,adjunctive doxycycline; doxycycline; mechanical debridement alone; placebo-controlled,
20943715,,"kinesthetic locomotor imagery training; locomotor imagery trainings; visual locomotor imagery training; visual locomotor imagery training, kinesthetic locomotor imagery training, visual locomotor imagery training with auditory step rhythm and kinesthetic locomotor imagery training with auditory step rhythm",
21029638,,Paliperidone extended-release tablets; paliperidone extended-release tablets; paliperidone extended-release tablets and control; risperidone,
21106663,,,
21170734,,,
21211686,,glimepiride; pioglitazone,
21393467,,,
21491990,,chlorhexidine (CHX) chips; scaling and root planing (SRP); subgingival controlled-release chlorhexidine delivery,
21669557,,,
21718094,,MDI therapy with continuous subcutaneous insulin therapy (pump therapy); starting insulin pump therapy,
21866656,,QYJDR; laparoscopic surgery; routine progesterone,
2188766,,placebo; standard digitalis-diuretic regimens,
21896676,,physiotherapy service; return to usual work/home/leisure activities,
21914768,,,
21924760,,,
21975269,,low-dose hormonal contraceptive methods,
21982657,,amiodarone; placebo; placebo-controlled; skeletal myoblast implantation by catheter delivery,
22154769,,VZV interferon-gamma (IFN-γ) enzyme-linked immunospot (ELISPOT) assay and VZV glycoprotein enzyme-linked immunosorbent antibody (gpELISA) assay; placebo; zoster vaccine; zoster vaccine (ZV),
2223363,,Propofol; propofol,
2224060,,Bestatin; bestatin; bestatin (INN: Ubenimex; bestatin immunotherapy; chemoimmunotherapy with bestatin,
22271197,,,
22341427,,,
22416755,,,
22420121,,,
22435114,,CBT; Cognitive behavioral therapies (CBT); Modified CBT interventions; agroup CBT intervention; treatment-as-usual (TAU),
22538329,,,
22646975,,guided imagery with relaxation training,
22744141,,2 treatments (parent + therapist EMT; 36 intervention sessions,
22865017,,,
22881991,,emotion training programme; few emotion training interventions,
22897461,,fenofibrate or ω-3 fatty acids; high-dose rosuvastatin monotherapy; rosuvastatin 10 mg/day combined with fenofibrate 200 mg/day (RF; rosuvastatin monotherapy,
22956006,,adjuvant chemotherapy; chemotherapy; dexamethasone; dexamethasone pre-chemotherapy; fluorouracil/epirubicin/cyclophosphamide and 15 received doxorubicin/cyclophosphamide; granisetron; placebo,
23021296,,,
23103798,,placebo; posterior tibial nerve stimulation,
23114870,,,
23356250,,,
23357440,,"CBT; Relative to usual care, CBT adapted; TAU; cognitive-behavioral therapy; growing literature supporting adapted CBT approaches; modular cognitive-behavioral therapy (CBT) protocol relative to treatment as usual (TAU",
23392542,,B1+B6 (N.=15); B6 (N.=12),
23417625,,,
23549581,,"duloxetine; duloxetine and placebo; oxaliplatin treatment; paclitaxel, other taxane; placebo",
23838728,,,
23849147,,,
23985254,,CCND1 A870G polymorphism; capecitabine and oxaliplatin plus radiotherapy; concurrent capecitabine and radiotherapy; postoperative CRT of capecitabine with or without oxaliplatin,
24075141,,gluten- and casein-free diet; gluten- and casein-free diet as an intervention; gluten- and casein-free dietary intervention; trans-indolyl-3-acryloylglycine,
24080592,,placebo; simvastatin; statin,
24317958,,,
24350813,,risperidone,
24451919,,Fluoxetine; Serotonin; placebo; selective serotonin reuptake inhibitors (SSRIs),
24515505,,,
24726342,,,
24803369,,,
24960665,,,
24989854,,Social skills training (SST); common intervention,
25068497,,Cuban pneumococcal conjugate vaccine candidate,
25369243,,Atomoxetine; atomoxetine; placebo-controlled,
25479285,,automated computer programme; lipid-lowering drugs,
25784723,,12-week standardized aerobic dynamic exercise training program,
25885649,,,
25886492,,,
25898782,,PCS with propofol; midazolam; midazolam sedation; patient-controlled propofol sedation; propofol,
25931290,,,
25950425,,Preoperative oral pregabalin; lidocaine; lidocaine infusion; placebo capsules; placebo capsules and normal saline; pregabalin; pregabalin and normal saline; preoperative oral pregabalin; preoperative pregabalin,
26210844,,,
26278470,,Inference-Based Approach versus Cognitive Behavioral Therapy; cognitive behavior therapy (CBT),
2678230,,Amidotrizoate and Iopromide; ionic and nonionic x-ray contrast media,
2803397,,"Plasma catecholamines (epinephrine and norepinephrine); epinephrine; epinephrine, norepinephrine, glucose, lactate and free glycerol; fentanyl anaesthesia; fentanyl anaesthesia and retroauricular infiltration anaesthesia; general anaesthesia; halothane anaesthesia and retroauricular infiltration anaesthesia; lidocaine; ornipressin; prilocaine and epinephrine",
2908133,,ketazolam; placebo; placebo-controlled,
3067745,,"Fifty-one; Levobunolol; Levobunolol and timolol; levobunolol; levobunolol, 1% levobunolol, or 0.5% timolol; timolol",
3074300,,ACE inhibitors; Captopril; angiotensin-converting enzyme inhibitors; captopril; captopril monotherapy; placebo-controlled,
3081600,,doxepin,
3534803,,DHE 0.5 mg plus heparin; dihydroergotamine (DHE) and heparin; heparin; placebo,
361799,,chemotherapy; cyclophosphamide and 5-fluoro-uracil and on the other hand with doxorubicine or/and with methotrexate; doxorubicine,
384815,,levamisole; placebo,
3919804,,continuous infusion,
4919024,,amantadine,
6418441,,Sodium cromoglycate; Sodium cromoglycate formulated as a pressurized aerosol; bronchodilators (theophylline; placebo; sodium cromoglycate delivered by pressurized aerosol; sodium cromoglycate pressurized aerosol; sodium cromoglycate treatment,
6421395,,regular exercise,
6920252,,Antenatal dexamethasone treatment; antenatal glucocorticoid treatment; dexamethasone,
6938020,,Adriamycin; Medroxyprogesterone acetate; Procarbazine; Stilboestrol; low dose Stilboestrol versus Cyproterone acetate,
6951573,,,
6989377,,"clofibrate or niceritrol, a nicotinic acid ester; diet enriched with polyunsaturated fats; niceritrol",
7598243,,") ondansetron, droperidol, perphenazine; Metoclopramide; droperidol; metoclopramide; ondansetron; ondansetron 4 mg, droperidol 1.25 mg, perphenazine 5 mg, metoclopramide; ondansetron, droperidol, and perphenazine; perphenazine; placebo; prophylactic ondansetron, droperidol, perphenazine",
7707420,,risk counseling to general health counseling (control),
7808649,,ketorolac; ketorolac 30 mg suppositories; ketorolac tromethamine; ketorolac tromethamine suppositories; placebo,
7814711,,Systemic oxytetracycline; cephapirin therapy; cephapirin treatment; commercial preparation of cephapirin benzathine at drying off (20 cows) and infusion with cephapirin benzathine at drying off and intramuscular oxytetracycline; intramuscular oxytetracycline; intramuscular oxytetracycline as a supplemental dry cow treatment; systemic oxytetracycline (in combination with cephapirin treatment),
7827398,,,
7831628,,,
7844976,,,
7853069,,,
8519720,,0.5 mg SM with INB using saline (INB-); Intercostal nerve blocks (INB) and subarachnoid morphine; bupivacaine; morphine,
8726604,,investigational inhalational anesthetic sevoflurane; isoflurane; sevoflurane; vecuronium 0.1 mg/kg and fentanyl,
8771302,,Fluoroscopy; Sorin Bicarbon,
8779382,,,
8911222,,amino acid drink; placebo-controlled,
8911223,,Fluvoxamine; fluvoxamine; placebo; placebo-controlled; selective serotonin uptake inhibitor fluvoxamine maleate,
8913901,,,
8916620,,,
8989009,,"500 mL crystalloid solution; colloid solution; crystalloids, colloids",
9229602,,Antazolin/Tetryzolin eye drops; Antazolin/Tetryzolin eye drops and Levocabastine eye drops; Antazoline/tetryzoline eyedrops; levocabastine eyedrops,
9394106,,paromomycin; paromomycin sulfate; placebo,
9481998,,indomethacin cream; indomethacin phonophoresis; placebo cream; placebo-controlled; ultrasound massage (1.0 MHz,
9573502,,Human brain natriuretic peptide (hBNP); aldosterone; placebo,
9695300,,Salbutamol; nebulized salbutamol; placebo; salbutamol,
9730996,,fluticasone; fluticasone treatment; high-dose fluticasone; placebo; placebo-controlled,
9816035,,Amonafide; N-acetyl-amonafide; cyclophosphamide-doxorubicin-5-fluorouracil; standard cyclophosphamide-doxorubicin-5-fluorouracil,
