sentence,true_label,population,intervention,outcome
"RESULTS S. typhi was isolated from 82 patients ( 44 in the cefixime group , 38 in the ofloxacin group ) and 70 ( 85 % ) of the isolates were multidrug-resistant .",participants,Outcome: S. typhi,Outcome: Ofloxacin,Isolated S. typhi was multidrug-resistant
"CONCLUSION Short course treatment with cefixime may provide a useful alternative treatment in cases of uncomplicated typhoid fever in children , but it is less effective than short course treatment with ofloxacin .",participants,Outcome: Children,Outcome: Cefixime,Short course treatment
"To assess the effects of epinephrine on ventilation in patients with panic disorder and in social phobics , analyses were performed on pooled data from two previous infusion studies .",participants,Outcome: patients with panic disorder and in social phobics,Outcome: epinephrine,effects of epinephrine
"Twenty-nine patients received epinephrine , ten patients received placebo .",participants,Outcome: epinephrine,Outcome: epinephrine,epinephrine
The TOM test : a new instrument for assessing theory of mind in normal children and children with pervasive developmental disorders .,participants,Outcome: normal,Outcome: Test,The TOM test
"This article describes a first attempt to investigate the reliability and validity of the TOM test , a new instrument for assessing theory of mind ability in normal children and children with pervasive developmental disorders ( PDDs ) .",participants,Outcome: Children,Outcome: TOM,Reliability
"Furthermore , young children only succeeded on TOM items that tap the basic domains of theory of mind ( e.g. , emotion recognition ) , whereas older children also passed items that measure the more mature areas of theory of mind ( e.g. , understanding of humor , understanding of second-order beliefs ) .",participants,Outcome: young children,Outcome: TOM,Young children only succeeded on TOM items
Study 2 showed for a separate sample of normal children ( n = 12 ) that the TOM test possesses sufficient test-retest stability .,participants,Outcome: normal children,Outcome: TOM,test-retest stability
"Study 4 found that children with PDDs ( n = 20 ) had significantly lower TOM test scores than children with other psychiatric disorders ( e.g. , children with Attention-deficit Hyperactivity Disorder ; n = 32 ) , a finding that underlines the discriminant validity of the TOM test .",participants,Outcome: Children,Outcome: TOM,Discriminant validity of the TOM
Comparison of ranitidine and lansoprazole in short-term low-dose triple therapy for Helicobacter pylori infection .,interventions,Outcome: Helicobacter pylori,Outcome: Comparison of ranitidine and lansoprazol,Comparison of ranitidine and lansoprazole
"To evaluate the efficacy and safety of two 1-week low-dose triple-therapy drug regimens involving antisecretory drugs for Helicobacter pylori infection , 99 patients with H. pylori infection were treated with either lansoprazole ( LPZ ) or ranitidine ( RNT ) used together with clarithromycin ( CAM ) and metrinidazole ( MTZ ) .",interventions,Outcome: 99,Outcome: drugs,Efficacy and safety of two 1-week low-dose triple-therapy drug regimens involving antisecretory drugs
"The drug combination and administration periods in the PPI group were LPZ 30 mg , CAM 400 mg , MTZ 500 mg ( LCM group ) .",interventions,Outcome: PPI,Outcome: PPI,The drug combination
"The ranitidine group received RNT 300 mg , CAM 400 mg , MTZ 500 mg ( RCM group ) .",interventions,Outcome: ranitidine,Outcome: ranitidine,ranitidine
Pre-operative short-term pulmonary rehabilitation for patients of chronic obstructive pulmonary disease undergoing coronary artery bypass graft surgery .,interventions,Outcome: Patients,Outcome: Pre-operative,Pre-operative short-term pulmonary rehabilitation for patients of chronic obstructive pulmonary disease
The role of pre-operative short-term pulmonary rehabilitation in patients with chronic obstructive pulmonary disease who undergo coronary artery bypass graft surgery has been assessed for the first time prospectively .,interventions,Outcome: patients with chronic obstructive pulmonary,Outcome,Role of pre-operative short-term pulmonary rehabilitation
Forty-five patients posted for coronary artery bypass graft surgery were randomised to receive either short-term pulmonary rehabilitation ( group I ) or no such programme ( group II ) .,interventions,Outcome: Forty-five,Outcome: short-term,short-term pulmonary rehabilitation
"Spinal anesthesia is often used in this institution , as well as many others , for this procedure .",interventions,Outcome: Procedure,Outcome,Spinal anesthesia
Seventy-eight women were randomized to receive 45 mg of hyperbaric 1.5 % lidocaine with or without 10 microg of fentanyl .,interventions,Outcome: Seventy-eight,Outcome: 45 mg of hyperbaric 1.5 % lidocaine,Lidocaine and fentanyl
Fertility outcome after systemic methotrexate and laparoscopic salpingostomy for tubal pregnancy .,interventions,Outcome: Systemic methotrexate,Outcome: systemic methotrexate,Systemic methotrexate and laparoscopic salpingostomy
"According to a crossover design , they were randomized to have either sleep deprivation or a full night 's sleep 1 week apart , during which they were monitored with ABPM .",interventions,Outcome: They,Outcome: sleep deprivation,They were randomized to have either sleep deprivation
Switching patients with asthma from chlorofluorocarbon ( CFC ) albuterol to hydrofluoroalkane-134a ( HFA ) albuterol .,interventions,Outcome: Patients,Outcome: Albuterol,Switching patients with asthma from chlorofluorocarbon albuterol to hydrofluoroalkane-134
"Hydrofluoroalkane-134a ( HFA ) , a non-ozone-depleting propellant , has been used to reformulate albuterol ( HFA albuterol ) .",interventions,Outcome: Albuterol,Outcome: albuterol,albuterol ( HFA albuterol
This study evaluates whether comparable safety and efficacy continues for 12 weeks after patients with asthma are switched from CFC albuterol to HFA albuterol .,interventions,Outcome: Patients,Outcome,Comparable safety and efficacy
Patients with asthma stabilized on CFC albuterol during a 12-week safety and efficacy trial were randomized to either continue receiving CFC albuterol or to be switched to receive HFA albuterol in a yearlong safety and efficacy trial .,interventions,Outcome: Patients,Outcome: Albuterol,Patients with asthma stabilized on CFC albuterol during a 12-week safety
No significant differences in bronchodilator efficacy between the patients continuing to receive CFC albuterol and those switched to HFA albuterol were found in the 12 weeks after the switch .,interventions,Outcome: CFC albuterol,Outcome: Albuterol,No significant differences in bronchodilator efficacy
Patients with asthma switched from CFC albuterol to HFA albuterol receive comparable bronchodilation with a similar safety profile as those continuing to receive CFC albuterol .,interventions,Outcome: Patients,Outcome: Albuterol,Comparable bronchodilation
"METHODS Ten healthy volunteers were enrolled in a randomized , double-blinded , placebo-controlled , crossover trial in which they received an infusion of saline , remifentanil , or alfentanil for 120 min .",interventions,Outcome: Ten healthy volunteers,Outcome: infusion,Intervention: saline
"The age- and weight-adjusted infusions ( determined with STANPUMP , a computer modeling software package ) were given to achieve three predicted constant plasma levels for 40 min each of remifentanil ( 0.75 , 1.5 , and 3 ng/ml ) and alfentanil ( 16 , 32 , and 64 ng/ml ) .",interventions,Outcome: Adult,Outcome: infusion,Age- and weight
"BACKGROUND Ropivacaine , 0.2 % , is a new local anesthetic approved for epidural analgesia .",interventions,Outcome: Introduction,Outcome: Drug,BACKGROUND
The addition of 4 microg/ml fentanyl improves analgesia from epidural ropivacaine .,interventions,Outcome: fentanyl,Outcome: Fentanyl,analgesia from epidural
"METHODS Thirty patients undergoing lower abdominal surgery were randomized in a double-blinded manner to receive one of three solutions : 0.2 % ropivacaine-4 microg fentanyl 0.1 % ropivacaine-2 microg fentanyl , or 0.05 % ropivacaine-1 microg fentanyl for patient-controlled epidural analgesia after standardized combined epidural and general anesthesia .",interventions,Outcome: Thirty,Outcome: fentanyl,fentanyl for patient-controlled epidural analgesia
"A significantly smaller volume of 0.2 % ropivacaine-4 microg fentanyl solution was used , whereas the 0.1 % ropivacaine-2 microg fentanyl group used a significantly greater amount of ropivacaine and fentanyl .",interventions,Outcome: None,Outcome: Fentanyl,fentanyl
CONCLUSIONS Lesser concentrations of ropivacaine and fentanyl provide comparable analgesia with less motor block despite the use of similar amounts of ropivacaine and fentanyl .,interventions,Outcome: Subject,Outcome: Lesser Concentrations,analgesia
The implant treatment involved either a mainly implant-supported mandibular overdenture on a transmandibular implant ( TMI ) or an implant-tissue-supported mandibular overdenture on two IMZ implants ( IMZ ) .,interventions,Outcome: Mandibular,Outcome: Implant,Mandibular overdenture
[ Triple therapy regimens involving H2 blockaders for therapy of Helicobacter pylori infections ] .,outcomes,Outcome: Triple therapy,Outcome: Triple,Triple therapy regimens involving H2 blockaders
The cure rate of H. pylori infection was 88 % in the LCM group ; 95 % CI 79-97 and 92 % in the RCM group ; 95 % CI 84-99 .,outcomes,Outcome: H. pylori,Outcome: cure,CURE RATIOD
"Pre-operative and post-operative peak expiratory flow rate , inspiratory capacity , post-operative ventilation time , post-operative pulmonary complication and hospital stay were determined in both the groups .",outcomes,Outcome: both the groups,Outcome: Peak expiratory flow,"Pre-operative and post-operative peak expiratory flow rate , inspiratory capacity"
"Peak expiratory flow rate ( 220.0 +/- 12.9 and 324.3 +/- 84.3 in group I , 218.0 +/- 16.4 and 260.5 +/- 35.2 in group II ) and inspiratory capacity ( 844.0 +/- 147.4 and 1100.0 +/- 158.1 in group I , 830.0 +/- 117.4 and 1090 +/- 137 in group II ) were significantly lower before and after surgery respectively in both groups compared to normal values .",outcomes,Outcome: Adults,Outcome: Surgery,Peak expiratory flow rate and inspiratory capacity were significantly lower before and after surgery
"Even though both groups showed a significant rise in post-operative peak expiratory flow rate and inspiratory capacity after surgery , the post-operative peak expiratory flow rate and inspiratory capacity in group I was significantly higher than in group II .",outcomes,Outcome: Both groups,Outcome: Surgery,post-operative peak expiratory flow rate and inspiratory
"In group I , the post-operative ventilation time ( 24.5 +/- 6.00 hours ) , post-operative complications ( n = 4 ) and hospital stay ( 12.4 +/- 3.6 days ) were significantly lower than in group II ( 35.2 +/- 22.3 hours , n = 11 , 18.8 +/- 6.6 days respectively ) .",outcomes,Outcome: Patients,Outcome: post-operative complications,Complications
These data suggest that short-term pulmonary rehabilitation is feasible and effective in improving pulmonary functions before and after surgery and in reducing surgical morbidity and cost of medical care significantly .,outcomes,Outcome: short-term,Outcome,Short-Term Pulmonary Rehabilitation Is Feasible
Visual analog scale ( VAS ) pain scores were lower in the operating room ( OR ) ( P < 0.05 ) and postanesthesia care unit ( PACU ) ( P < 0.0005 ) for the group that received fentanyl .,outcomes,Outcome: VAS,Outcome: fentanyl,fentanyl
"In addition , the amount of narcotic required in the PACU was less in the fentanyl group ( P < 0.005 ) .",outcomes,Outcome: Narcotic,Outcome: Fentanyl,amount of narcotic
There was no difference in VAS scores the evening of or 24 h after the procedure .,outcomes,Outcome: VAS,Outcome: VAS,There was no difference in VAS scores
The amount of analgesics and narcotics required after discharge was the same for both groups .,outcomes,Outcome: both,Outcome: None,analgesic and narcotic
"Timed variables , such as time to urination , ambulation , and discharge , were the same for both groups of women .",outcomes,Outcome: women,Outcome: None,time to urination
Urine samples for analysis of nocturnal urinary excretion of norepinephrine were collected .,outcomes,Outcome: Urine,Outcome: Urine,Urinary excretion of norepinephrine
"During the sleep-deprivation day , both mean 24-h blood pressure and mean 24-h heart rate were higher in comparison with those recorded during the routine workday , the difference being more pronounced during the nighttime ( P < .01 ) .",outcomes,Outcome: adults,Outcome: blood pressure,Mean 24-h blood pressure and mean 24-h heart
Urinary excretion of norepinephrine showed a significant increase at night during sleep deprivation ( P < .05 ) .,outcomes,Outcome: Urinary excretion,Outcome: Urinary excretion,Urinary excretion of norepinephrine
Blood pressure and heart rate significantly increased in the morning after a sleep-insufficient night ( P < .05 ) .,outcomes,Outcome: Blood pressure and heart rate,Outcome: Blood pressure,Blood pressure and heart rate significantly
"These data suggest that lack of sleep in hypertensive patients may increase sympathetic nervous activity during the night and the following morning , leading to increased blood pressure and heart rate .",outcomes,Outcome: hypertensive,Outcome: Sleep,lack of sleep
This situation might represent an increased risk for both target organ damage and acute cardiovascular diseases .,outcomes,Outcome: This situation might represent an increased,Outcome: This situation might represent an increased risk,This situation might represent an increased risk for both target organ damage and acute cardiovascular diseases
Safety and efficacy were compared over the first 12 weeks of the yearlong trial between patients who had remained on CFC albuterol and those who had been switched to HFA albuterol .,outcomes,Outcome: CFC albuterol,Outcome: Albuterol,Safety and efficacy
Bronchodilator efficacy was evaluated by serial spirometry for 6 hr after the patients self-administered the study drug in the clinic .,outcomes,Outcome: Bronchodilator,Outcome: Bronchodilator efficacy,Serial spirometry
"Safety was assessed by measuring changes in pulse rate , blood pressure , and electrocardiogram ( ECG ) intervals after dosing with study drug , monitoring adverse events , and performing prestudy and poststudy laboratory testing and physical examinations .",outcomes,Outcome: Safety,Outcome: Safety,Safety was assessed
"No differences between the two products were found for changes in pulse rate , blood pressure , and ECG intervals .",outcomes,Outcome: No differences,Outcome: No differences,No differences between the two
"Adverse event profiles were similar for the two products , except the patients remaining on CFC albuterol reported increased asthma symptoms and rhinitis significantly more often than the patients switched to HFA albuterol .",outcomes,Outcome: Adverse event,Outcome: Albuterol,Adverse event profiles
No clinically meaningful changes in laboratory tests or physical examinations were found in either treatment group .,outcomes,Outcome: None,Outcome: None,No clinically meaningful changes in laboratory tests
Behavioral and physiological effects of remifentanil and alfentanil in healthy volunteers .,outcomes,Outcome: volunteers,Outcome: remifentanil and alfentanil,Behavioral and physiological effects of remifentanil
"Patients of both the groups were evenly matched with respect to age , sex , body surface area , duration and severity of chronic obstructive pulmonary disease and coronary artery disease .",none,Outcome: Patients,Outcome: Patients,"Patients of both groups were evenly matched with respect to age , sex"
Normal individuals who evenly matched with the study group were assessed for normal respiratory function parameters .,none,Outcome: Normal individuals,Outcome,normal respiratory function parameters
UNLABELLED Ultrasonically guided transvaginal oocyte retrieval is relatively short procedure that is performed on an out-patient basis .,none,Outcome: Ultrasonically guided transvaginal,Outcome,Ultrasonically guided transvaginal oocyte
"The optimal anesthetic technique should allow good surgical anesthesia with minimal side effects , a short recovery time , and , if possible , a high rate of successful pregnancy .",none,Outcome: The optimal anesthetic technique,Outcome: The optimal anesthetic technique,The optimal anesthetic technique should allow
The addition of fentanyl may be effective for both intraoperative and postoperative pain relief .,none,Outcome: Fentanyl,Outcome: Fentanyl,Addition of fentanyl
The addition of fentanyl to lidocaine for transvaginal oocyte retrieval results in a more comfortable patient in the OR and PACU .,none,Outcome: transvaginal,Outcome: Fentanyl,Addition of fentanyl
"IMPLICATIONS This study demonstrates that when fentanyl is added to a local anesthetic , lidocaine , with spinal anesthesia for egg retrieval procedures , patients are more comfortable during the procedure compared with those who receive lidocaine alone .",none,Outcome: Patients,Outcome: Fentanyl,fentanyl is added to a local anesthetic
"In addition , the narcotic requirements of patients are less in the postanesthesia care unit .",none,Outcome: patients,Outcome: narcotic,The narcotic requirements of patients
Chlorofluorocarbon ( CFC ) propellants deplete stratospheric ozone .,none,Outcome: Chlorofluorocarbon,Outcome: Chlorofluorocarbon,Deplete stratospheric ozone
"Production and use of CFCs , except for certain critical exemptions , has been prohibited by the Montreal Protocol .",none,Outcome: CFC,Outcome: Production,Production and use
"Use of CFCs as propellants in metered-dose inhalers ( MDIs ) is still allowed , but the U.S. Food and Drug Administration is planning the transition to alternative propellants for use in MDIs .",none,Outcome: CFC,Outcome: Use,Use of CFCs as propellant
Alfentanil was used as a comparator drug .,none,Outcome: Alfentanil,Outcome: Alfentanil,Alfentanil
"Mood forms and psychomotor tests were completed , and miosis was assessed , during and after the infusions .",none,Outcome: patients,Outcome,Mood forms and psychomotor
"In addition , analgesia was tested at each dose level using a cold-pressor test .",none,Outcome: cold-pressor,Outcome,cold-pressor test
"A psychomotor test administered 60 min after the remifentanil infusion was discontinued showed that the volunteers were still impaired , although they reported feeling no drug effects .",none,Outcome: volunteers,Outcome: Remifentanil,were still impaired
Patient-controlled epidural analgesia settings and adjustments for the three solutions were standardized to deliver equivalent drug doses .,none,Outcome: Patient,Outcome: Patient,Patient-controlled epidural analgesia
"Although many relationships have been found between parameters of objective and subjective oral function , the structure of these relationships remain unclear .",none,Outcomes: Abstract,Outcome:,Parameters of objective and subjective oral
"Therefore , we studied in a randomized clinical trial the relationship between the comminution of an artificial test food , i.e .",none,Outcome,Outcome,The relationship between the comminution of an artificial test
The trial involved a comparison between two groups receiving implant treatment and one group receiving conventional complete dentures ( CD ) .,none,Outcome,Outcome,implant treatment
No significant differences emerged between the TMI and the IMZ group .,none,Outcome: No,Outcome: No,No significant differences emerged
The results show that an improvement in masticatory performance does not imply the same improvement in chewing experience and vice versa .,none,Outcome,Outcome,An improvement in masticatory performance does not imply the same improvement
"DNA was extracted , and gene-specific PCR was performed .",none,Outcome: DNA,Outcome: DNA,DNA was extracted and gene-specific
"All 247 episodes were evaluable by "" intent-to-treat "" analysis .",none,Outcome: 247,Outcome: None,""" intent-to-treat"
"The two populations were well matched in terms of age , gender , underlying disease , chemotherapy received , oral decontamination , clinical and bacterial documentation , and severity and duration of neutropenia .",none,Outcome: The two populations,Outcome: chemotherapy,Intervention: neutropenia
OBJECTIVES The purpose of this study was to evaluate the relationship of baseline pulse pressure and mean arterial pressure to mortality in patients with left ventricular dysfunction .,none,Outcome: Patients,Outcomes: Pulse Pressure and Mean Arterial Pressure,Pulse Pressure and Mean Arterial Pressure in Patients with Left Ventricular Dysfunction
