sentence,true_label,population,intervention,outcome
"RESULTS S. typhi was isolated from 82 patients ( 44 in the cefixime group , 38 in the ofloxacin group ) and 70 ( 85 % ) of the isolates were multidrug-resistant .",participants,X patients with [condition],cefixime ofloxacin,RESULTS S. typhi
"CONCLUSION Short course treatment with cefixime may provide a useful alternative treatment in cases of uncomplicated typhoid fever in children , but it is less effective than short course treatment with ofloxacin .",participants,typhoid,ofloxacin,CONCLUSION Short course treatment with cefixime
"To assess the effects of epinephrine on ventilation in patients with panic disorder and in social phobics , analyses were performed on pooled data from two previous infusion studies .",participants,X patients with [condition],epinephrine,percentages
"Twenty-nine patients received epinephrine , ten patients received placebo .",participants,patients with [condition],epinephrine,Twenty-nine patients received epinephrine
The TOM test : a new instrument for assessing theory of mind in normal children and children with pervasive developmental disorders .,participants,normal children and children with pervasive developmental disorders,The TOM test,The TOM test : a new instrument
"This article describes a first attempt to investigate the reliability and validity of the TOM test , a new instrument for assessing theory of mind ability in normal children and children with pervasive developmental disorders ( PDDs ) .",participants,X patients with pervasive developmental,TOM test,reliability and validity
"Furthermore , young children only succeeded on TOM items that tap the basic domains of theory of mind ( e.g. , emotion recognition ) , whereas older children also passed items that measure the more mature areas of theory of mind ( e.g. , understanding of humor , understanding of second-order beliefs ) .",participants,X patients with [condition],ibuprofen ibuprofen,young children only succeeded on TOM
Study 2 showed for a separate sample of normal children ( n = 12 ) that the TOM test possesses sufficient test-retest stability .,participants,[condition],TOM,the TOM test possesses sufficient test-retest stability
"Study 4 found that children with PDDs ( n = 20 ) had significantly lower TOM test scores than children with other psychiatric disorders ( e.g. , children with Attention-deficit Hyperactivity Disorder ; n = 32 ) , a finding that underlines the discriminant validity of the TOM test .",participants,children with PDDs,PDDs,significantly lower TOM test scores
Comparison of ranitidine and lansoprazole in short-term low-dose triple therapy for Helicobacter pylori infection .,interventions,[condition],ranitidine and lansoprazole,Comparison of ranitidine and lansoprazole
"To evaluate the efficacy and safety of two 1-week low-dose triple-therapy drug regimens involving antisecretory drugs for Helicobacter pylori infection , 99 patients with H. pylori infection were treated with either lansoprazole ( LPZ ) or ranitidine ( RNT ) used together with clarithromycin ( CAM ) and metrinidazole ( MTZ ) .",interventions,99 patients with Helicobacter pylori,"lansoprazole, ranitidine, clarithromycin, metronidazole",efficacy and safety of two 1-week
"The drug combination and administration periods in the PPI group were LPZ 30 mg , CAM 400 mg , MTZ 500 mg ( LCM group ) .",interventions,[condition],LPZ 30 mg,The drug combination and administration periods in the PPI group were LPZ
"The ranitidine group received RNT 300 mg , CAM 400 mg , MTZ 500 mg ( RCM group ) .",interventions,X patients with [condition],ranitidine,The ranitidine group received RNT
Pre-operative short-term pulmonary rehabilitation for patients of chronic obstructive pulmonary disease undergoing coronary artery bypass graft surgery .,interventions,patients of chronic obstructive pulmonary disease,Pre-operative short-term pulmonary rehabilitation,Pre-operative short-term pulmonary rehabilitation for patients of chronic obstructive pulmonary disease
The role of pre-operative short-term pulmonary rehabilitation in patients with chronic obstructive pulmonary disease who undergo coronary artery bypass graft surgery has been assessed for the first time prospectively .,interventions,patients with chronic obstructive pulmonary disease,Coronary artery bypass graft (CABG),The role of pre-operative short-term pulmonary rehabilitation in patients with chronic obstructive pulmonary disease
Forty-five patients posted for coronary artery bypass graft surgery were randomised to receive either short-term pulmonary rehabilitation ( group I ) or no such programme ( group II ) .,interventions,Forty-five,Coronary artery bypass graft,short-term pulmonary rehabilitation
"Spinal anesthesia is often used in this institution , as well as many others , for this procedure .",interventions,X patients with [condition],Spinal anesthesia,Results of a randomized controlled clinical trial
Seventy-eight women were randomized to receive 45 mg of hyperbaric 1.5 % lidocaine with or without 10 microg of fentanyl .,interventions,Seventy-eight,hyperbaric 1.5 % lidocaine,45 mg of hyperbaric 1.5 % lidocaine with or without
Fertility outcome after systemic methotrexate and laparoscopic salpingostomy for tubal pregnancy .,interventions,X patients with [condition],methotrexate and laparoscopic salpingostomy,Fertility outcome after systemic methotrexate and laparoscopic
"According to a crossover design , they were randomized to have either sleep deprivation or a full night 's sleep 1 week apart , during which they were monitored with ABPM .",interventions,X patients with [condition],Sleep deprivation,They were randomized to have either sleep deprivation
Switching patients with asthma from chlorofluorocarbon ( CFC ) albuterol to hydrofluoroalkane-134a ( HFA ) albuterol .,interventions,X patients with asthma,chlorofluorocarbon albuterol,Number of patients who switched from CFC albuterol to HFA albuterol
"Hydrofluoroalkane-134a ( HFA ) , a non-ozone-depleting propellant , has been used to reformulate albuterol ( HFA albuterol ) .",interventions,[condition],albuterol,HFA albuterol
This study evaluates whether comparable safety and efficacy continues for 12 weeks after patients with asthma are switched from CFC albuterol to HFA albuterol .,interventions,patients with [condition],CFC albuterol,comparable safety and efficacy
Patients with asthma stabilized on CFC albuterol during a 12-week safety and efficacy trial were randomized to either continue receiving CFC albuterol or to be switched to receive HFA albuterol in a yearlong safety and efficacy trial .,interventions,Patients with asthma stabilized on CFC,CFC albuterol HFA albuterol,Patients with asthma stabilized on CFC albuterol during a 12-week safety and efficacy trial were randomized to either continue receiving CFC albuterol
No significant differences in bronchodilator efficacy between the patients continuing to receive CFC albuterol and those switched to HFA albuterol were found in the 12 weeks after the switch .,interventions,X patients with [condition,CFC albuterol HFA albuterol,No significant differences
Patients with asthma switched from CFC albuterol to HFA albuterol receive comparable bronchodilation with a similar safety profile as those continuing to receive CFC albuterol .,interventions,X patients with [condition],CFC albuterol HFA albuterol,Patients with asthma switched from CFC albuterol to HFA albuterol receive comparable bronchodilation
"METHODS Ten healthy volunteers were enrolled in a randomized , double-blinded , placebo-controlled , crossover trial in which they received an infusion of saline , remifentanil , or alfentanil for 120 min .",interventions,X patients with [condition],"remifentanil, alfentanil",10 healthy volunteers received an infusion
"The age- and weight-adjusted infusions ( determined with STANPUMP , a computer modeling software package ) were given to achieve three predicted constant plasma levels for 40 min each of remifentanil ( 0.75 , 1.5 , and 3 ng/ml ) and alfentanil ( 16 , 32 , and 64 ng/ml ) .",interventions,X patients with [condition],Remifentanil and alfentanil,remifentanil and alfentanil
"BACKGROUND Ropivacaine , 0.2 % , is a new local anesthetic approved for epidural analgesia .",interventions,X patients with [condition],Ropivacaine,"Ropivacaine , 0.2 % is a new local anesthetic approved for epidural"
The addition of 4 microg/ml fentanyl improves analgesia from epidural ropivacaine .,interventions,[condition],Fentanyl,percentages
"METHODS Thirty patients undergoing lower abdominal surgery were randomized in a double-blinded manner to receive one of three solutions : 0.2 % ropivacaine-4 microg fentanyl 0.1 % ropivacaine-2 microg fentanyl , or 0.05 % ropivacaine-1 microg fentanyl for patient-controlled epidural analgesia after standardized combined epidural and general anesthesia .",interventions,Thirty patients undergoing lower abdominal surgery,ropivacaine-4 microg fentanyl,fentanyl for patient-controlled epidural analgesia
"A significantly smaller volume of 0.2 % ropivacaine-4 microg fentanyl solution was used , whereas the 0.1 % ropivacaine-2 microg fentanyl group used a significantly greater amount of ropivacaine and fentanyl .",interventions,[condition],"Ropivacaine, Fentanyl",A significantly smaller volume of 0.2 % ropivacaine
CONCLUSIONS Lesser concentrations of ropivacaine and fentanyl provide comparable analgesia with less motor block despite the use of similar amounts of ropivacaine and fentanyl .,interventions,X patients with [condition],Lesser Concentrations of Ropivacaine and Fentanyl Provide Comparable Analgesia,Lesser concentrations of ropivacaine
The implant treatment involved either a mainly implant-supported mandibular overdenture on a transmandibular implant ( TMI ) or an implant-tissue-supported mandibular overdenture on two IMZ implants ( IMZ ) .,interventions,X patients with [condition],Transmandibular,mainly implant-supported mandibular
[ Triple therapy regimens involving H2 blockaders for therapy of Helicobacter pylori infections ] .,outcomes,X patients with Helicobacter,H2 blockaders,[ Triple therapy regimens involving H2 blockaders
The cure rate of H. pylori infection was 88 % in the LCM group ; 95 % CI 79-97 and 92 % in the RCM group ; 95 % CI 84-99 .,outcomes,X patients with [condition],H. pylori,The cure rate of H. pylori
"Pre-operative and post-operative peak expiratory flow rate , inspiratory capacity , post-operative ventilation time , post-operative pulmonary complication and hospital stay were determined in both the groups .",outcomes,X patients with [condition],Pre-operative and post-operative peak expiratory flow,"Pre-operative and post-operative peak expiratory flow rate , inspiratory capacity , post-operative ventilation time , post-operative pulmonary complication"
"Peak expiratory flow rate ( 220.0 +/- 12.9 and 324.3 +/- 84.3 in group I , 218.0 +/- 16.4 and 260.5 +/- 35.2 in group II ) and inspiratory capacity ( 844.0 +/- 147.4 and 1100.0 +/- 158.1 in group I , 830.0 +/- 117.4 and 1090 +/- 137 in group II ) were significantly lower before and after surgery respectively in both groups compared to normal values .",outcomes,X patients with [condition],ibuprofen,Peak expiratory flow rate ( 220.0 +/- 12.9 and 324.3 +/- 84.3
"Even though both groups showed a significant rise in post-operative peak expiratory flow rate and inspiratory capacity after surgery , the post-operative peak expiratory flow rate and inspiratory capacity in group I was significantly higher than in group II .",outcomes,X patients with [condition],Post-operative peak expiratory flow rate,Even though both groups showed a significant rise in post-operative peak expiratory flow rate and inspiratory capacity
"In group I , the post-operative ventilation time ( 24.5 +/- 6.00 hours ) , post-operative complications ( n = 4 ) and hospital stay ( 12.4 +/- 3.6 days ) were significantly lower than in group II ( 35.2 +/- 22.3 hours , n = 11 , 18.8 +/- 6.6 days respectively ) .",outcomes,X patients with [condition],"Group I , post-operative ventilation","post-operative ventilation time ( 24.5 +/- 6.00 hours ), post-operative complications ( n = 4 ) and hospital stay"
These data suggest that short-term pulmonary rehabilitation is feasible and effective in improving pulmonary functions before and after surgery and in reducing surgical morbidity and cost of medical care significantly .,outcomes,X patients with [condition],Short-Term Pulmonary Rehabilitation,These data suggest that short-term pulmonary rehabilitation
Visual analog scale ( VAS ) pain scores were lower in the operating room ( OR ) ( P < 0.05 ) and postanesthesia care unit ( PACU ) ( P < 0.0005 ) for the group that received fentanyl .,outcomes,X patients with [condition],fentanyl,Visual analog scale ( VAS )
"In addition , the amount of narcotic required in the PACU was less in the fentanyl group ( P < 0.005 ) .",outcomes,[condition],fentanyl,amount of narcotic
There was no difference in VAS scores the evening of or 24 h after the procedure .,outcomes,X patients with [condition],VAS scores,There was no difference in VAS scores
The amount of analgesics and narcotics required after discharge was the same for both groups .,outcomes,X patients with [condition],analgesics and narcotics,The amount of analgesics and narcotics
"Timed variables , such as time to urination , ambulation , and discharge , were the same for both groups of women .",outcomes,X patients with [condition],Acyclobutanol,time to urination
Urine samples for analysis of nocturnal urinary excretion of norepinephrine were collected .,outcomes,X patients with [condition],norepinephrine,Urinary excretion of norepinephrine
"During the sleep-deprivation day , both mean 24-h blood pressure and mean 24-h heart rate were higher in comparison with those recorded during the routine workday , the difference being more pronounced during the nighttime ( P < .01 ) .",outcomes,X patients with [condition],sleep-deprivation,both mean 24-h blood pressure and mean 24-h heart
Urinary excretion of norepinephrine showed a significant increase at night during sleep deprivation ( P < .05 ) .,outcomes,[condition],Urinary excretion of norepineph,Urinary excretion of norepinephrine
Blood pressure and heart rate significantly increased in the morning after a sleep-insufficient night ( P < .05 ) .,outcomes,X patients with [condition],sleep-insufficiency,Blood pressure and heart rate significantly increased
"These data suggest that lack of sleep in hypertensive patients may increase sympathetic nervous activity during the night and the following morning , leading to increased blood pressure and heart rate .",outcomes,hypertensive,sleep aids,These data suggest that lack of
This situation might represent an increased risk for both target organ damage and acute cardiovascular diseases .,outcomes,X patients with [condition],Target Organ Damage and Acute Cardiac Disease,This situation might represent an increased risk for both target organ damage
Safety and efficacy were compared over the first 12 weeks of the yearlong trial between patients who had remained on CFC albuterol and those who had been switched to HFA albuterol .,outcomes,[condition],CFC albuterol HFA albuterol,Safety and efficacy
Bronchodilator efficacy was evaluated by serial spirometry for 6 hr after the patients self-administered the study drug in the clinic .,outcomes,X patients with [condition],Bronchodilator efficacy,Bronchodilator efficacy was evaluated by serial spirometry
"Safety was assessed by measuring changes in pulse rate , blood pressure , and electrocardiogram ( ECG ) intervals after dosing with study drug , monitoring adverse events , and performing prestudy and poststudy laboratory testing and physical examinations .",outcomes,[condition],study drug,Safety was assessed by measuring changes
"No differences between the two products were found for changes in pulse rate , blood pressure , and ECG intervals .",outcomes,X patients with [condition],two products were found,No differences between the two products were
"Adverse event profiles were similar for the two products , except the patients remaining on CFC albuterol reported increased asthma symptoms and rhinitis significantly more often than the patients switched to HFA albuterol .",outcomes,X patients with [condition],albuterol CFC albuterol,Adverse event profiles were similar
No clinically meaningful changes in laboratory tests or physical examinations were found in either treatment group .,outcomes,X patients with [condition],No clinically,No clinically meaningful changes in laboratory tests
Behavioral and physiological effects of remifentanil and alfentanil in healthy volunteers .,outcomes,X patients with [condition],remifentanil and alfentanil,Behavioral and physiological effects
"Patients of both the groups were evenly matched with respect to age , sex , body surface area , duration and severity of chronic obstructive pulmonary disease and coronary artery disease .",none,X patients with [condition],Carbamazepine,"Patients of both groups were evenly matched with respect to age , sex"
Normal individuals who evenly matched with the study group were assessed for normal respiratory function parameters .,none,X patients with [condition],Normal individuals who evenly,Normal individuals who evenly matched with the study group
UNLABELLED Ultrasonically guided transvaginal oocyte retrieval is relatively short procedure that is performed on an out-patient basis .,none,X patients with [condition],Ultrasonically guided transvaginal,UNLABELLED Ultrasonically guided transvaginal
"The optimal anesthetic technique should allow good surgical anesthesia with minimal side effects , a short recovery time , and , if possible , a high rate of successful pregnancy .",none,X patients with [condition],anesthetic technique,The optimal anesthetic technique should allow good surgical anesthesia with minimal
The addition of fentanyl may be effective for both intraoperative and postoperative pain relief .,none,[condition],fentanyl,The addition of
The addition of fentanyl to lidocaine for transvaginal oocyte retrieval results in a more comfortable patient in the OR and PACU .,none,[condition],fentanyl to lidocaine,The addition of fentanyl to lidocaine for transvaginal
"IMPLICATIONS This study demonstrates that when fentanyl is added to a local anesthetic , lidocaine , with spinal anesthesia for egg retrieval procedures , patients are more comfortable during the procedure compared with those who receive lidocaine alone .",none,X patients with [condition],"Fentanyl, lidocaine",patients are more comfortable when fentanyl is added
"In addition , the narcotic requirements of patients are less in the postanesthesia care unit .",none,[condition],Narcotic Requirements,narcotic requirements of patients are less
Chlorofluorocarbon ( CFC ) propellants deplete stratospheric ozone .,none,[condition],Chlorofluorocarbon,Chlorofluorocarbon propellants deplete stratospheric ozone
"Production and use of CFCs , except for certain critical exemptions , has been prohibited by the Montreal Protocol .",none,[condition],CFCs,Production and use of CFCs
"Use of CFCs as propellants in metered-dose inhalers ( MDIs ) is still allowed , but the U.S. Food and Drug Administration is planning the transition to alternative propellants for use in MDIs .",none,[condition],metered-dose inhalers,Use of CFCs as propellants
Alfentanil was used as a comparator drug .,none,X patients with [condition],Alfentanil,Alfentanil
"Mood forms and psychomotor tests were completed , and miosis was assessed , during and after the infusions .",none,X patients with [condition],Infusions of ibuprofen,Mood forms and psychomotor tests
"In addition , analgesia was tested at each dose level using a cold-pressor test .",none,X patients with [condition],acetaminoph,analgesia was tested
"A psychomotor test administered 60 min after the remifentanil infusion was discontinued showed that the volunteers were still impaired , although they reported feeling no drug effects .",none,X patients with [condition],Remifentanil,A psychomotor test administered 60 min
Patient-controlled epidural analgesia settings and adjustments for the three solutions were standardized to deliver equivalent drug doses .,none,X patients with [condition],Epidural analgesia,Patient-controlled epidural analgesia
"Although many relationships have been found between parameters of objective and subjective oral function , the structure of these relationships remain unclear .",none,X patients with [condition],"Xylitol, ibuprofen",Although many relationships have been found between parameters of objective
"Therefore , we studied in a randomized clinical trial the relationship between the comminution of an artificial test food , i.e .",none,[condition],comminution of an artificial,the relationship between the comminution
The trial involved a comparison between two groups receiving implant treatment and one group receiving conventional complete dentures ( CD ) .,none,[condition],implant treatment,The trial involved a comparison between
No significant differences emerged between the TMI and the IMZ group .,none,X patients with [condition],No significant differences,No significant differences emerged
The results show that an improvement in masticatory performance does not imply the same improvement in chewing experience and vice versa .,none,[condition],masticatory performance does not imply the,an improvement in masticatory performance does not imply the
"DNA was extracted , and gene-specific PCR was performed .",none,X patients with [condition],Gene-Specific PCR,"DNA was extracted , and gene-specific PCR"
"All 247 episodes were evaluable by "" intent-to-treat "" analysis .",none,X patients with [condition,Carbamazepine,All 247 episodes
"The two populations were well matched in terms of age , gender , underlying disease , chemotherapy received , oral decontamination , clinical and bacterial documentation , and severity and duration of neutropenia .",none,X patients with [condition],oral decontamination,The two populations were well
OBJECTIVES The purpose of this study was to evaluate the relationship of baseline pulse pressure and mean arterial pressure to mortality in patients with left ventricular dysfunction .,none,patients with left ventricular dysfunction,Pulse Pressure and Mean Arterial Pressure to Mortality in Patients with Left Ventricular Dysfunction,The purpose of this study was to evaluate the relationship of baseline pulse pressure and mean arterial pressure to mortality
