doc_id,sentence_id,sentence_start,sentence_end,sentence_text,sentence_tokens,p_count,i_count,o_count,gold_label
10052279,8,264,319,"In group I, the post-operative ventilation time (24.5 +/- 6.00 hours), post-operative complications (n = 4) and hospital stay (12.4 +/- 3.6 days) were significantly lower than in group II (35.2 +/- 22.3 hours, n = 11, 18.8 +/- 6.6 days respectively).","['In', 'group', 'I', ',', 'the', 'post-operative', 'ventilation', 'time', '(', '24.5', '+/-', '6.00', 'hours', ')', ',', 'post-operative', 'complications', '(', 'n', '=', '4', ')', 'and', 'hospital', 'stay', '(', '12.4', '+/-', '3.6', 'days', ')', 'were', 'significantly', 'lower', 'than', 'in', 'group', 'II', '(', '35.2', '+/-', '22.3', 'hours', ',', 'n', '=', '11', ',', '18.8', '+/-', '6.6', 'days', 'respectively', ')', '.']",0,0,7,O
10052279,9,319,350,These data suggest that short-term pulmonary rehabilitation is feasible and effective in improving pulmonary functions before and after surgery and in reducing surgical morbidity and cost of medical care significantly.,"['These', 'data', 'suggest', 'that', 'short-term', 'pulmonary', 'rehabilitation', 'is', 'feasible', 'and', 'effective', 'in', 'improving', 'pulmonary', 'functions', 'before', 'and', 'after', 'surgery', 'and', 'in', 'reducing', 'surgical', 'morbidity', 'and', 'cost', 'of', 'medical', 'care', 'significantly', '.']",0,0,8,O
10071998,0,0,15,Anesthesia for in vitro fertilization: the addition of fentanyl to 1.5% lidocaine.,"['Anesthesia', 'for', 'in', 'vitro', 'fertilization', ':', 'the', 'addition', 'of', 'fentanyl', 'to', '1.5', '%', 'lidocaine', '.']",4,3,0,MIXED
10071998,1,15,33,UNLABELLED Ultrasonically guided transvaginal oocyte retrieval is relatively short procedure that is performed on an out-patient basis.,"['UNLABELLED', 'Ultrasonically', 'guided', 'transvaginal', 'oocyte', 'retrieval', 'is', 'relatively', 'short', 'procedure', 'that', 'is', 'performed', 'on', 'an', 'out-patient', 'basis', '.']",0,0,0,NONE
10071998,2,33,64,"The optimal anesthetic technique should allow good surgical anesthesia with minimal side effects, a short recovery time, and, if possible, a high rate of successful pregnancy.","['The', 'optimal', 'anesthetic', 'technique', 'should', 'allow', 'good', 'surgical', 'anesthesia', 'with', 'minimal', 'side', 'effects', ',', 'a', 'short', 'recovery', 'time', ',', 'and', ',', 'if', 'possible', ',', 'a', 'high', 'rate', 'of', 'successful', 'pregnancy', '.']",0,0,0,NONE
10071998,3,64,83,"Spinal anesthesia is often used in this institution, as well as many others, for this procedure.","['Spinal', 'anesthesia', 'is', 'often', 'used', 'in', 'this', 'institution', ',', 'as', 'well', 'as', 'many', 'others', ',', 'for', 'this', 'procedure', '.']",0,2,0,I
10071998,4,83,98,The addition of fentanyl may be effective for both intraoperative and postoperative pain relief.,"['The', 'addition', 'of', 'fentanyl', 'may', 'be', 'effective', 'for', 'both', 'intraoperative', 'and', 'postoperative', 'pain', 'relief', '.']",0,0,0,NONE
10071998,5,98,117,We assessed the effect of adding fentanyl to 1.5% lidocaine in women undergoing ultrasonically guided oocyte retrieval.,"['We', 'assessed', 'the', 'effect', 'of', 'adding', 'fentanyl', 'to', '1.5', '%', 'lidocaine', 'in', 'women', 'undergoing', 'ultrasonically', 'guided', 'oocyte', 'retrieval', '.']",5,0,0,P
10071998,6,117,138,Seventy-eight women were randomized to receive 45 mg of hyperbaric 1.5% lidocaine with or without 10 microg of fentanyl.,"['Seventy-eight', 'women', 'were', 'randomized', 'to', 'receive', '45', 'mg', 'of', 'hyperbaric', '1.5', '%', 'lidocaine', 'with', 'or', 'without', '10', 'microg', 'of', 'fentanyl', '.']",2,15,0,MIXED
10071998,7,138,179,Visual analog scale (VAS) pain scores were lower in the operating room (OR) (P <0.05) and postanesthesia care unit (PACU) (P <0.0005) for the group that received fentanyl.,"['Visual', 'analog', 'scale', '(', 'VAS', ')', 'pain', 'scores', 'were', 'lower', 'in', 'the', 'operating', 'room', '(', 'OR', ')', '(', 'P', '<', '0.05', ')', 'and', 'postanesthesia', 'care', 'unit', '(', 'PACU', ')', '(', 'P', '<', '0.0005', ')', 'for', 'the', 'group', 'that', 'received', 'fentanyl', '.']",0,0,8,O
10071998,8,179,202,"In addition, the amount of narcotic required in the PACU was less in the fentanyl group (P <0.005).","['In', 'addition', ',', 'the', 'amount', 'of', 'narcotic', 'required', 'in', 'the', 'PACU', 'was', 'less', 'in', 'the', 'fentanyl', 'group', '(', 'P', '<', '0.005', ')', '.']",0,0,4,O
10071998,9,202,219,There was no difference in VAS scores the evening of or 24 h after the procedure.,"['There', 'was', 'no', 'difference', 'in', 'VAS', 'scores', 'the', 'evening', 'of', 'or', '24', 'h', 'after', 'the', 'procedure', '.']",0,0,2,O
10071998,10,219,235,The amount of analgesics and narcotics required after discharge was the same for both groups.,"['The', 'amount', 'of', 'analgesics', 'and', 'narcotics', 'required', 'after', 'discharge', 'was', 'the', 'same', 'for', 'both', 'groups', '.']",0,0,8,O
10071998,11,235,258,"Timed variables, such as time to urination, ambulation, and discharge, were the same for both groups of women.","['Timed', 'variables', ',', 'such', 'as', 'time', 'to', 'urination', ',', 'ambulation', ',', 'and', 'discharge', ',', 'were', 'the', 'same', 'for', 'both', 'groups', 'of', 'women', '.']",0,0,13,O
10071998,12,258,280,The addition of fentanyl to lidocaine for transvaginal oocyte retrieval results in a more comfortable patient in the OR and PACU.,"['The', 'addition', 'of', 'fentanyl', 'to', 'lidocaine', 'for', 'transvaginal', 'oocyte', 'retrieval', 'results', 'in', 'a', 'more', 'comfortable', 'patient', 'in', 'the', 'OR', 'and', 'PACU', '.']",0,0,0,NONE
10071998,13,280,319,"IMPLICATIONS This study demonstrates that when fentanyl is added to a local anesthetic, lidocaine, with spinal anesthesia for egg retrieval procedures, patients are more comfortable during the procedure compared with those who receive lidocaine alone.","['IMPLICATIONS', 'This', 'study', 'demonstrates', 'that', 'when', 'fentanyl', 'is', 'added', 'to', 'a', 'local', 'anesthetic', ',', 'lidocaine', ',', 'with', 'spinal', 'anesthesia', 'for', 'egg', 'retrieval', 'procedures', ',', 'patients', 'are', 'more', 'comfortable', 'during', 'the', 'procedure', 'compared', 'with', 'those', 'who', 'receive', 'lidocaine', 'alone', '.']",0,0,0,NONE
10071998,14,319,335,"In addition, the narcotic requirements of patients are less in the postanesthesia care unit.","['In', 'addition', ',', 'the', 'narcotic', 'requirements', 'of', 'patients', 'are', 'less', 'in', 'the', 'postanesthesia', 'care', 'unit', '.']",0,0,0,NONE
10075386,0,0,15,Effects of insufficient sleep on blood pressure in hypertensive patients: a 24-h study.,"['Effects', 'of', 'insufficient', 'sleep', 'on', 'blood', 'pressure', 'in', 'hypertensive', 'patients', ':', 'a', '24-h', 'study', '.']",3,2,2,MIXED
10075386,1,15,47,The influence of acute sleep deprivation during the first part of the night on 24-h blood pressure monitoring (ABPM) was studied in 36 never-treated mild to moderate hypertensive patients.,"['The', 'influence', 'of', 'acute', 'sleep', 'deprivation', 'during', 'the', 'first', 'part', 'of', 'the', 'night', 'on', '24-h', 'blood', 'pressure', 'monitoring', '(', 'ABPM', ')', 'was', 'studied', 'in', '36', 'never-treated', 'mild', 'to', 'moderate', 'hypertensive', 'patients', '.']",8,4,2,MIXED
10075386,2,47,79,"According to a crossover design, they were randomized to have either sleep deprivation or a full night's sleep 1 week apart, during which they were monitored with ABPM.","['According', 'to', 'a', 'crossover', 'design', ',', 'they', 'were', 'randomized', 'to', 'have', 'either', 'sleep', 'deprivation', 'or', 'a', 'full', 'night', ""'s"", 'sleep', '1', 'week', 'apart', ',', 'during', 'which', 'they', 'were', 'monitored', 'with', 'ABPM', '.']",0,6,0,I
10075386,3,79,92,Urine samples for analysis of nocturnal urinary excretion of norepinephrine were collected.,"['Urine', 'samples', 'for', 'analysis', 'of', 'nocturnal', 'urinary', 'excretion', 'of', 'norepinephrine', 'were', 'collected', '.']",0,0,3,O
10075386,4,92,133,"During the sleep-deprivation day, both mean 24-h blood pressure and mean 24-h heart rate were higher in comparison with those recorded during the routine workday, the difference being more pronounced during the nighttime (P <.01).","['During', 'the', 'sleep-deprivation', 'day', ',', 'both', 'mean', '24-h', 'blood', 'pressure', 'and', 'mean', '24-h', 'heart', 'rate', 'were', 'higher', 'in', 'comparison', 'with', 'those', 'recorded', 'during', 'the', 'routine', 'workday', ',', 'the', 'difference', 'being', 'more', 'pronounced', 'during', 'the', 'nighttime', '(', 'P', '<', '.01', ')', '.']",0,1,2,MIXED
10075386,5,133,152,Urinary excretion of norepinephrine showed a significant increase at night during sleep deprivation (P <.05).,"['Urinary', 'excretion', 'of', 'norepinephrine', 'showed', 'a', 'significant', 'increase', 'at', 'night', 'during', 'sleep', 'deprivation', '(', 'P', '<', '.05', ')', '.']",0,2,4,MIXED
10075386,6,152,172,Blood pressure and heart rate significantly increased in the morning after a sleep-insufficient night (P <.05).,"['Blood', 'pressure', 'and', 'heart', 'rate', 'significantly', 'increased', 'in', 'the', 'morning', 'after', 'a', 'sleep-insufficient', 'night', '(', 'P', '<', '.05', ')', '.']",0,1,4,MIXED
10075386,7,172,204,"These data suggest that lack of sleep in hypertensive patients may increase sympathetic nervous activity during the night and the following morning, leading to increased blood pressure and heart rate.","['These', 'data', 'suggest', 'that', 'lack', 'of', 'sleep', 'in', 'hypertensive', 'patients', 'may', 'increase', 'sympathetic', 'nervous', 'activity', 'during', 'the', 'night', 'and', 'the', 'following', 'morning', ',', 'leading', 'to', 'increased', 'blood', 'pressure', 'and', 'heart', 'rate', '.']",0,0,7,O
10075386,8,204,221,This situation might represent an increased risk for both target organ damage and acute cardiovascular diseases.,"['This', 'situation', 'might', 'represent', 'an', 'increased', 'risk', 'for', 'both', 'target', 'organ', 'damage', 'and', 'acute', 'cardiovascular', 'diseases', '.']",0,0,10,O
10078672,0,0,12,Behavioral and physiological effects of remifentanil and alfentanil in healthy volunteers.,"['Behavioral', 'and', 'physiological', 'effects', 'of', 'remifentanil', 'and', 'alfentanil', 'in', 'healthy', 'volunteers', '.']",1,2,4,MIXED
10078672,1,12,25,BACKGROUND The subjective and psychomotor effects of remifentanil have not been evaluated.,"['BACKGROUND', 'The', 'subjective', 'and', 'psychomotor', 'effects', 'of', 'remifentanil', 'have', 'not', 'been', 'evaluated', '.']",0,1,4,MIXED
10078672,2,25,47,"Accordingly, the authors used mood inventories and psychomotor tests to characterize the effects of remifentanil in healthy, non-drug-abusing volunteers.","['Accordingly', ',', 'the', 'authors', 'used', 'mood', 'inventories', 'and', 'psychomotor', 'tests', 'to', 'characterize', 'the', 'effects', 'of', 'remifentanil', 'in', 'healthy', ',', 'non-drug-abusing', 'volunteers', '.']",1,1,0,MIXED
10078672,3,47,55,Alfentanil was used as a comparator drug.,"['Alfentanil', 'was', 'used', 'as', 'a', 'comparator', 'drug', '.']",0,0,0,NONE
10078672,4,55,88,"METHODS Ten healthy volunteers were enrolled in a randomized, double-blinded, placebo-controlled, crossover trial in which they received an infusion of saline, remifentanil, or alfentanil for 120 min.","['METHODS', 'Ten', 'healthy', 'volunteers', 'were', 'enrolled', 'in', 'a', 'randomized', ',', 'double-blinded', ',', 'placebo-controlled', ',', 'crossover', 'trial', 'in', 'which', 'they', 'received', 'an', 'infusion', 'of', 'saline', ',', 'remifentanil', ',', 'or', 'alfentanil', 'for', '120', 'min', '.']",1,4,0,MIXED
10078672,5,88,140,"The age- and weight-adjusted infusions (determined with STANPUMP, a computer modeling software package) were given to achieve three predicted constant plasma levels for 40 min each of remifentanil (0.75, 1.5, and 3 ng/ml) and alfentanil (16, 32, and 64 ng/ml).","['The', 'age-', 'and', 'weight-adjusted', 'infusions', '(', 'determined', 'with', 'STANPUMP', ',', 'a', 'computer', 'modeling', 'software', 'package', ')', 'were', 'given', 'to', 'achieve', 'three', 'predicted', 'constant', 'plasma', 'levels', 'for', '40', 'min', 'each', 'of', 'remifentanil', '(', '0.75', ',', '1.5', ',', 'and', '3', 'ng/ml', ')', 'and', 'alfentanil', '(', '16', ',', '32', ',', 'and', '64', 'ng/ml', ')', '.']",0,6,0,I
10078672,6,140,159,"Mood forms and psychomotor tests were completed, and miosis was assessed, during and after the infusions.","['Mood', 'forms', 'and', 'psychomotor', 'tests', 'were', 'completed', ',', 'and', 'miosis', 'was', 'assessed', ',', 'during', 'and', 'after', 'the', 'infusions', '.']",0,0,0,NONE
10078672,7,159,174,"In addition, analgesia was tested at each dose level using a cold-pressor test.","['In', 'addition', ',', 'analgesia', 'was', 'tested', 'at', 'each', 'dose', 'level', 'using', 'a', 'cold-pressor', 'test', '.']",0,0,0,NONE
10078672,8,174,191,"RESULTS Remifentanil had prototypic micro-like opioid subjective effects, impaired psychomotor performance, and produced analgesia.","['RESULTS', 'Remifentanil', 'had', 'prototypic', 'micro-like', 'opioid', 'subjective', 'effects', ',', 'impaired', 'psychomotor', 'performance', ',', 'and', 'produced', 'analgesia', '.']",0,1,13,MIXED
10078672,9,191,231,"Alfentanil at the dose range tested had more mild effects on these measures, and the analgesia data indicated that a 40:1 potency ratio, rather than the 20:1 ratio we used, may exist between remifentanil and alfentanil.","['Alfentanil', 'at', 'the', 'dose', 'range', 'tested', 'had', 'more', 'mild', 'effects', 'on', 'these', 'measures', ',', 'and', 'the', 'analgesia', 'data', 'indicated', 'that', 'a', '40:1', 'potency', 'ratio', ',', 'rather', 'than', 'the', '20:1', 'ratio', 'we', 'used', ',', 'may', 'exist', 'between', 'remifentanil', 'and', 'alfentanil', '.']",0,0,1,O
10078672,10,231,259,"A psychomotor test administered 60 min after the remifentanil infusion was discontinued showed that the volunteers were still impaired, although they reported feeling no drug effects.","['A', 'psychomotor', 'test', 'administered', '60', 'min', 'after', 'the', 'remifentanil', 'infusion', 'was', 'discontinued', 'showed', 'that', 'the', 'volunteers', 'were', 'still', 'impaired', ',', 'although', 'they', 'reported', 'feeling', 'no', 'drug', 'effects', '.']",0,0,0,NONE
10078672,11,259,298,CONCLUSIONS The notion that the pharmacodynamic effects of remifentanil are extremely short-lived after the drug is no longer administered must be questioned given our findings that psychomotor effects were still apparent 1 h after the infusion was discontinued.,"['CONCLUSIONS', 'The', 'notion', 'that', 'the', 'pharmacodynamic', 'effects', 'of', 'remifentanil', 'are', 'extremely', 'short-lived', 'after', 'the', 'drug', 'is', 'no', 'longer', 'administered', 'must', 'be', 'questioned', 'given', 'our', 'findings', 'that', 'psychomotor', 'effects', 'were', 'still', 'apparent', '1', 'h', 'after', 'the', 'infusion', 'was', 'discontinued', '.']",0,1,4,MIXED
10078673,0,0,12,Comparison of three solutions of ropivacaine/fentanyl for postoperative patient-controlled epidural analgesia.,"['Comparison', 'of', 'three', 'solutions', 'of', 'ropivacaine/fentanyl', 'for', 'postoperative', 'patient-controlled', 'epidural', 'analgesia', '.']",5,1,0,MIXED
10078673,1,12,28,"BACKGROUND Ropivacaine, 0.2%, is a new local anesthetic approved for epidural analgesia.","['BACKGROUND', 'Ropivacaine', ',', '0.2', '%', ',', 'is', 'a', 'new', 'local', 'anesthetic', 'approved', 'for', 'epidural', 'analgesia', '.']",0,1,0,I
10078673,2,28,40,The addition of 4 microg/ml fentanyl improves analgesia from epidural ropivacaine.,"['The', 'addition', 'of', '4', 'microg/ml', 'fentanyl', 'improves', 'analgesia', 'from', 'epidural', 'ropivacaine', '.']",0,1,0,I
10078673,3,40,56,Use of a lower concentration of ropivacaine-fentanyl may further improve analgesia or decrease side effects.,"['Use', 'of', 'a', 'lower', 'concentration', 'of', 'ropivacaine-fentanyl', 'may', 'further', 'improve', 'analgesia', 'or', 'decrease', 'side', 'effects', '.']",0,1,3,MIXED
10078673,4,56,105,"METHODS Thirty patients undergoing lower abdominal surgery were randomized in a double-blinded manner to receive one of three solutions: 0.2% ropivacaine-4 microg fentanyl 0.1% ropivacaine-2 microg fentanyl, or 0.05% ropivacaine-1 microg fentanyl for patient-controlled epidural analgesia after standardized combined epidural and general anesthesia.","['METHODS', 'Thirty', 'patients', 'undergoing', 'lower', 'abdominal', 'surgery', 'were', 'randomized', 'in', 'a', 'double-blinded', 'manner', 'to', 'receive', 'one', 'of', 'three', 'solutions', ':', '0.2', '%', 'ropivacaine-4', 'microg', 'fentanyl', '0.1', '%', 'ropivacaine-2', 'microg', 'fentanyl', ',', 'or', '0.05', '%', 'ropivacaine-1', 'microg', 'fentanyl', 'for', 'patient-controlled', 'epidural', 'analgesia', 'after', 'standardized', 'combined', 'epidural', 'and', 'general', 'anesthesia', '.']",8,15,0,MIXED
10078673,5,105,123,Patient-controlled epidural analgesia settings and adjustments for the three solutions were standardized to deliver equivalent drug doses.,"['Patient-controlled', 'epidural', 'analgesia', 'settings', 'and', 'adjustments', 'for', 'the', 'three', 'solutions', 'were', 'standardized', 'to', 'deliver', 'equivalent', 'drug', 'doses', '.']",0,0,0,NONE
10078673,6,123,170,"Pain scores (rest, cough, and ambulation), side effects (nausea, pruritus, sedation, motor block, hypotension, and orthostasis), and patient-controlled epidural analgesia consumption were measured for 48 h. RESULTS All three solutions produced equivalent analgesia.","['Pain', 'scores', '(', 'rest', ',', 'cough', ',', 'and', 'ambulation', ')', ',', 'side', 'effects', '(', 'nausea', ',', 'pruritus', ',', 'sedation', ',', 'motor', 'block', ',', 'hypotension', ',', 'and', 'orthostasis', ')', ',', 'and', 'patient-controlled', 'epidural', 'analgesia', 'consumption', 'were', 'measured', 'for', '48', 'h.', 'RESULTS', 'All', 'three', 'solutions', 'produced', 'equivalent', 'analgesia', '.']",0,0,34,O
10078673,7,170,194,Motor block was significantly more common (30 vs. 0%) and more intense with the 0.2% ropivacaine-4 microg fentanyl solution.,"['Motor', 'block', 'was', 'significantly', 'more', 'common', '(', '30', 'vs.', '0', '%', ')', 'and', 'more', 'intense', 'with', 'the', '0.2', '%', 'ropivacaine-4', 'microg', 'fentanyl', 'solution', '.']",0,1,2,MIXED
10078673,8,194,206,Other side effects were equivalent between solutions and mild in severity.,"['Other', 'side', 'effects', 'were', 'equivalent', 'between', 'solutions', 'and', 'mild', 'in', 'severity', '.']",0,0,2,O
10078673,9,206,238,"A significantly smaller volume of 0.2% ropivacaine-4 microg fentanyl solution was used, whereas the 0.1% ropivacaine-2 microg fentanyl group used a significantly greater amount of ropivacaine and fentanyl.","['A', 'significantly', 'smaller', 'volume', 'of', '0.2', '%', 'ropivacaine-4', 'microg', 'fentanyl', 'solution', 'was', 'used', ',', 'whereas', 'the', '0.1', '%', 'ropivacaine-2', 'microg', 'fentanyl', 'group', 'used', 'a', 'significantly', 'greater', 'amount', 'of', 'ropivacaine', 'and', 'fentanyl', '.']",0,4,0,I
10078673,10,238,263,CONCLUSIONS Lesser concentrations of ropivacaine and fentanyl provide comparable analgesia with less motor block despite the use of similar amounts of ropivacaine and fentanyl.,"['CONCLUSIONS', 'Lesser', 'concentrations', 'of', 'ropivacaine', 'and', 'fentanyl', 'provide', 'comparable', 'analgesia', 'with', 'less', 'motor', 'block', 'despite', 'the', 'use', 'of', 'similar', 'amounts', 'of', 'ropivacaine', 'and', 'fentanyl', '.']",0,2,2,MIXED
10078673,11,263,291,This finding suggests that concentration of local anesthetic solution at low doses is a primary determinant of motor block with patient-controlled epidural analgesia after lower abdominal surgery.,"['This', 'finding', 'suggests', 'that', 'concentration', 'of', 'local', 'anesthetic', 'solution', 'at', 'low', 'doses', 'is', 'a', 'primary', 'determinant', 'of', 'motor', 'block', 'with', 'patient-controlled', 'epidural', 'analgesia', 'after', 'lower', 'abdominal', 'surgery', '.']",0,0,4,O
10080319,0,0,10,Masticatory performance and chewing experience with implant-retained mandibular overdentures.,"['Masticatory', 'performance', 'and', 'chewing', 'experience', 'with', 'implant-retained', 'mandibular', 'overdentures', '.']",4,0,0,P
10080319,1,10,29,The relationship between masticatory performance and chewing experience has not yet been explored for patients with implant-retained overdentures.,"['The', 'relationship', 'between', 'masticatory', 'performance', 'and', 'chewing', 'experience', 'has', 'not', 'yet', 'been', 'explored', 'for', 'patients', 'with', 'implant-retained', 'overdentures', '.']",2,2,0,MIXED
10080319,2,29,52,"Although many relationships have been found between parameters of objective and subjective oral function, the structure of these relationships remain unclear.","['Although', 'many', 'relationships', 'have', 'been', 'found', 'between', 'parameters', 'of', 'objective', 'and', 'subjective', 'oral', 'function', ',', 'the', 'structure', 'of', 'these', 'relationships', 'remain', 'unclear', '.']",0,0,0,NONE
10080319,3,52,74,"Therefore, we studied in a randomized clinical trial the relationship between the comminution of an artificial test food, i.e.","['Therefore', ',', 'we', 'studied', 'in', 'a', 'randomized', 'clinical', 'trial', 'the', 'relationship', 'between', 'the', 'comminution', 'of', 'an', 'artificial', 'test', 'food', ',', 'i.e', '.']",0,0,0,NONE
10080319,4,74,83,"masticatory performance, and the subjective chewing experience.","['masticatory', 'performance', ',', 'and', 'the', 'subjective', 'chewing', 'experience', '.']",0,8,9,MIXED
10080319,5,83,105,The trial involved a comparison between two groups receiving implant treatment and one group receiving conventional complete dentures (CD).,"['The', 'trial', 'involved', 'a', 'comparison', 'between', 'two', 'groups', 'receiving', 'implant', 'treatment', 'and', 'one', 'group', 'receiving', 'conventional', 'complete', 'dentures', '(', 'CD', ')', '.']",0,0,0,NONE
